"Dec_time","Dec_ZT_time","Condition","mean","SEM"
334,1294,"1 Male",0.479166666666667,0.188286373044444
335,1295,"1 Male",0.5,0.18354275595188
336,1296,"1 Male",0.354166666666667,0.153243835660195
337,1297,"1 Male",0.333333333333333,0.158487233901323
338,1298,"1 Male",0.145833333333333,0.0665085669662596
339,1299,"1 Male",0.166666666666667,0.074931016344381
340,1300,"1 Male",0.25,0.100970468261729
341,1301,"1 Male",0.291666666666667,0.10718154766916
342,1302,"1 Male",0.291666666666667,0.126176496520674
343,1303,"1 Male",0.625,0.425916825030395
344,1304,"1 Male",0.145833333333333,0.0665085669662596
345,1305,"1 Male",0.1875,0.101654094676698
346,1306,"1 Male",0.166666666666667,0.108721345508907
347,1307,"1 Male",0.0416666666666667,0.029147663515556
348,1308,"1 Male",0.104166666666667,0.061306572754348
349,1309,"1 Male",0.333333333333333,0.146874449850587
350,1310,"1 Male",0.166666666666667,0.095711840966424
351,1311,"1 Male",0.104166666666667,0.074374360557078
352,1312,"1 Male",0.0833333333333333,0.0654589182339529
353,1313,"1 Male",0.0625,0.0461865819758285
354,1314,"1 Male",0.0625,0.0625
355,1315,"1 Male",0.0625,0.0625
356,1316,"1 Male",0.125,0.0640326268785261
357,1317,"1 Male",0.125,0.0874429905466681
358,1318,"1 Male",0.395833333333333,0.207867386746486
359,1319,"1 Male",0.270833333333333,0.121819769112292
360,1320,"1 Male",0.458333333333333,0.170933848651042
361,1321,"1 Male",0.645833333333333,0.278498989858574
362,1322,"1 Male",0.6875,0.263225104565957
363,1323,"1 Male",0.770833333333333,0.247755139882226
364,1324,"1 Male",0.666666666666667,0.204846710837393
365,1325,"1 Male",0.416666666666667,0.135901681886134
366,1326,"1 Male",0.354166666666667,0.120906678644723
367,1327,"1 Male",0.479166666666667,0.142761466399082
368,1328,"1 Male",0.541666666666667,0.165666324185898
369,1329,"1 Male",0.4375,0.139357218676189
370,1330,"1 Male",0.291666666666667,0.151699396359353
371,1331,"1 Male",0.604166666666667,0.232049883312088
372,1332,"1 Male",0.333333333333333,0.130917836467906
373,1333,"1 Male",0.416666666666667,0.14227549608021
374,1334,"1 Male",0.395833333333333,0.141983115484702
375,1335,"1 Male",0.604166666666667,0.257407256818615
376,1336,"1 Male",0.270833333333333,0.0975751362305065
377,1337,"1 Male",0.3125,0.107996954580125
378,1338,"1 Male",0.270833333333333,0.0975751362305065
379,1339,"1 Male",0.354166666666667,0.10935652917322
380,1340,"1 Male",0.8125,0.393493457460006
381,1341,"1 Male",0.625,0.229910944831236
382,1342,"1 Male",0.6875,0.210866689257213
383,1343,"1 Male",0.541666666666667,0.181009612743184
384,1344,"1 Male",0.604166666666667,0.165079991714025
385,1345,"1 Male",0.479166666666667,0.139622030731977
386,1346,"1 Male",0.5625,0.21860747636667
387,1347,"1 Male",0.541666666666667,0.176043830508335
388,1348,"1 Male",0.479166666666667,0.181086122621659
389,1349,"1 Male",0.5,0.178647400252624
390,1350,"1 Male",0.458333333333333,0.133017133932519
391,1351,"1 Male",0.354166666666667,0.113337439954802
392,1352,"1 Male",0.5,0.176148712156309
393,1353,"1 Male",0.375,0.109904052287529
394,1354,"1 Male",0.479166666666667,0.154683339694992
395,1355,"1 Male",0.604166666666667,0.167743639184911
396,1356,"1 Male",0.520833333333333,0.165749916651491
397,1357,"1 Male",0.416666666666667,0.132599933321193
398,1358,"1 Male",0.583333333333333,0.165331531676297
399,1359,"1 Male",0.479166666666667,0.148841815138778
400,1360,"1 Male",0.458333333333333,0.160225719919984
401,1361,"1 Male",0.583333333333333,0.157082592601297
402,1362,"1 Male",0.8125,0.233794345738495
403,1363,"1 Male",0.395833333333333,0.114311007786573
404,1364,"1 Male",0.375,0.125
405,1365,"1 Male",0.458333333333333,0.151699396359353
406,1366,"1 Male",0.541666666666667,0.176043830508335
407,1367,"1 Male",0.416666666666667,0.145357633468508
408,1368,"1 Male",0.520833333333333,0.173587468839376
409,1369,"1 Male",0.541666666666667,0.157434927831095
410,1370,"1 Male",0.708333333333333,0.256058388546741
411,1371,"1 Male",0.604166666666667,0.230131752529847
